Area Code,Difference Between Actual and Target Profit,Date,Inventory,Margin,Market Size,Market,Marketing,Number of Records,Product Line,Product Type,Product,Profit,Sales,State,Target Margin,Target Profit,Target Sales,Total Expenses,Type
503,-28,10/1/2012,404,66,Small Market,West,20,1,Beans,Espresso,Caffe Latte,$12,120,Oregon,60,40,100,54,Regular
573,-36,10/1/2012,320,64,Small Market,Central,41,1,Leaves,Herbal Tea,Chamomile,-$6,109,Missouri,60,30,80,70,Decaf
262,-15,10/1/2012,851,70,Small Market,Central,13,1,Leaves,Herbal Tea,Lemon,$45,118,Wisconsin,60,60,90,25,Decaf
801,-27,10/1/2012,310,71,Small Market,West,15,1,Leaves,Herbal Tea,Chamomile,$33,120,Utah,60,60,90,38,Decaf
425,-13,10/1/2012,829,71,Small Market,West,13,1,Leaves,Herbal Tea,Lemon,$47,119,Washington,60,60,90,24,Decaf
860,-14,10/1/2012,881,59,Small Market,East,11,1,Leaves,Tea,Darjeeling,$36,99,Connecticut,60,50,100,23,Regular
971,14,10/1/2012,788,123,Small Market,West,27,1,Leaves,Tea,Earl Grey,$64,205,Oregon,60,50,90,59,Regular
971,26,10/1/2012,656,127,Small Market,West,28,1,Leaves,Tea,Green Tea,$76,218,Oregon,60,50,100,51,Regular
915,-14,11/1/2012,536,52,Major Market,South,13,1,Beans,Coffee,Decaf Irish Cream,$26,92,Texas,60,40,100,26,Decaf
210,8,11/1/2012,589,73,Major Market,South,14,1,Beans,Espresso,Decaf Espresso,$48,123,Texas,60,40,90,25,Decaf
970,-13,11/1/2012,536,52,Major Market,Central,13,1,Beans,Coffee,Colombian,$27,92,Colorado,60,40,90,25,Regular
774,-8,11/1/2012,554,68,Major Market,East,47,1,Beans,Espresso,Caffe Mocha,-$8,120,Massachusetts,60,0,110,76,Regular
954,14,11/1/2012,1063,89,Major Market,East,23,1,Leaves,Herbal Tea,Mint,$44,164,Florida,60,30,110,45,Decaf
936,1,11/1/2012,424,68,Major Market,South,14,1,Leaves,Herbal Tea,Lemon,$31,114,Texas,60,30,100,37,Decaf
719,-5,11/1/2012,410,69,Major Market,Central,20,1,Leaves,Tea,Darjeeling,$15,124,Colorado,60,20,100,54,Regular
847,8,11/1/2012,589,73,Major Market,Central,14,1,Leaves,Tea,Darjeeling,$48,123,Illinois,60,40,100,25,Regular
719,-1,11/1/2012,1042,68,Major Market,Central,17,1,Leaves,Tea,Earl Grey,$29,125,Colorado,60,30,100,39,Regular
339,-9,11/1/2012,862,52,Major Market,East,10,1,Leaves,Tea,Darjeeling,$31,88,Massachusetts,60,40,90,21,Regular
314,-23,11/1/2012,836,48,Small Market,Central,9,1,Beans,Espresso,Decaf Espresso,$27,81,Missouri,60,50,100,21,Decaf
504,-22,11/1/2012,856,47,Small Market,South,8,1,Beans,Coffee,Decaf Irish Cream,$28,78,Louisiana,60,50,90,19,Decaf
580,-10,11/1/2012,862,52,Small Market,South,10,1,Beans,Coffee,Decaf Irish Cream,$30,88,Oklahoma,60,40,100,22,Decaf
225,4,11/1/2012,454,71,Small Market,South,15,1,Beans,Espresso,Decaf Espresso,$34,120,Louisiana,60,30,90,37,Decaf
262,-6,11/1/2012,391,67,Small Market,Central,20,1,Beans,Coffee,Amaretto,$14,121,Wisconsin,60,20,110,53,Regular
603,-10,11/1/2012,316,67,Small Market,East,14,1,Beans,Coffee,Amaretto,$30,113,New Hampshire,60,40,100,37,Regular
603,-10,11/1/2012,452,66,Small Market,East,14,1,Beans,Coffee,Colombian,$20,109,New Hampshire,60,30,90,46,Regular
603,-18,11/1/2012,325,62,Small Market,East,40,1,Beans,Espresso,Caffe Mocha,-$8,106,New Hampshire,60,10,100,70,Regular
225,19,11/1/2012,321,88,Small Market,South,16,1,Beans,Espresso,Caffe Mocha,$49,141,Louisiana,60,30,100,39,Regular
425,-7,11/1/2012,391,67,Small Market,West,20,1,Beans,Espresso,Caffe Mocha,$13,121,Washington,60,20,110,54,Regular
918,-7,11/1/2012,391,67,Small Market,South,20,1,Leaves,Herbal Tea,Chamomile,$13,121,Oklahoma,60,20,110,54,Decaf
801,0,11/1/2012,316,67,Small Market,West,14,1,Leaves,Herbal Tea,Chamomile,$30,113,Utah,60,30,100,37,Decaf
435,-10,11/1/2012,452,66,Small Market,West,14,1,Leaves,Herbal Tea,Lemon,$20,109,Utah,60,30,100,46,Decaf
509,4,11/1/2012,834,68,Small Market,West,13,1,Leaves,Herbal Tea,Lemon,$44,115,Washington,60,40,100,24,Decaf
203,-7,11/1/2012,809,54,Small Market,East,10,1,Leaves,Tea,Green Tea,$33,90,Connecticut,60,40,90,21,Regular
206,1,11/1/2012,613,86,Small Market,West,55,1,Leaves,Tea,Green Tea,$1,147,Washington,60,0,100,85,Regular
682,-10,12/1/2012,531,56,Major Market,South,14,1,Beans,Coffee,Decaf Irish Cream,$30,99,Texas,60,40,110,26,Decaf
214,12,12/1/2012,601,79,Major Market,South,15,1,Beans,Espresso,Decaf Espresso,$52,133,Texas,60,40,100,27,Decaf
970,-6,12/1/2012,521,65,Major Market,Central,42,1,Leaves,Herbal Tea,Lemon,-$6,112,Colorado,60,0,100,71,Decaf
303,-1,12/1/2012,424,73,Major Market,Central,17,1,Leaves,Herbal Tea,Mint,$29,127,Colorado,60,30,110,44,Decaf
954,3,12/1/2012,403,80,Major Market,East,24,1,Leaves,Herbal Tea,Lemon,$23,145,Florida,60,20,100,57,Decaf
561,20,12/1/2012,1079,96,Major Market,East,24,1,Leaves,Herbal Tea,Mint,$50,176,Florida,60,30,120,46,Decaf
469,-2,12/1/2012,424,73,Major Market,South,17,1,Leaves,Herbal Tea,Chamomile,$28,127,Texas,60,30,110,45,Decaf
214,-6,12/1/2012,435,60,Major Market,South,13,1,Leaves,Herbal Tea,Lemon,$24,101,Texas,60,30,90,36,Decaf
619,3,12/1/2012,601,79,Major Market,West,15,1,Leaves,Tea,Earl Grey,$53,133,California,60,50,90,26,Regular
314,-23,12/1/2012,844,46,Small Market,Central,8,1,Beans,Espresso,Decaf Espresso,$27,77,Missouri,60,50,90,19,Decaf
225,-19,12/1/2012,863,51,Small Market,South,9,1,Beans,Coffee,Decaf Irish Cream,$31,85,Louisiana,60,50,100,20,Decaf
580,-22,12/1/2012,870,49,Small Market,South,9,1,Beans,Coffee,Decaf Irish Cream,$28,82,Oklahoma,60,50,90,21,Decaf
603,-2,12/1/2012,462,74,Small Market,East,15,1,Beans,Coffee,Colombian,$28,122,New Hampshire,60,30,100,46,Regular
985,-3,12/1/2012,-1053,76,Small Market,South,49,1,Beans,Espresso,Caffe Latte,-$3,131,Louisiana,60,0,100,79,Regular
505,-15,12/1/2012,335,69,Small Market,South,44,1,Beans,Espresso,Caffe Mocha,-$5,118,New Mexico,60,10,90,74,Regular
775,-19,12/1/2012,250,49,Small Market,West,14,1,Beans,Coffee,Colombian,$1,88,Nevada,60,20,100,48,Regular
417,-5,12/1/2012,335,69,Small Market,Central,44,1,Leaves,Herbal Tea,Chamomile,-$5,118,Missouri,60,0,100,74,Decaf
920,0,12/1/2012,320,66,Small Market,Central,12,1,Leaves,Herbal Tea,Chamomile,$30,107,Wisconsin,60,30,90,36,Decaf
573,-4,12/1/2012,1898,68,Small Market,Central,28,1,Leaves,Herbal Tea,Lemon,$16,160,Missouri,60,20,140,52,Decaf
475,7,12/1/2012,619,85,Small Market,East,25,1,Leaves,Herbal Tea,Lemon,$27,153,Connecticut,60,20,110,58,Decaf
475,-4,12/1/2012,1075,76,Small Market,East,19,1,Leaves,Herbal Tea,Mint,$36,139,Connecticut,60,40,100,40,Decaf
435,-3,12/1/2012,1898,68,Small Market,West,28,1,Leaves,Herbal Tea,Mint,$17,160,Utah,60,20,140,51,Decaf
920,-3,12/1/2012,627,76,Small Market,Central,49,1,Leaves,Tea,Earl Grey,-$3,131,Wisconsin,60,0,100,79,Regular
720,-37,10/1/2013,503,71,Major Market,Central,46,1,Leaves,Herbal Tea,Lemon,-$7,130,Colorado,60,30,90,76,Decaf
970,-11,10/1/2013,405,71,Major Market,Central,17,1,Leaves,Herbal Tea,Mint,$39,131,Colorado,60,50,90,45,Decaf
430,-8,10/1/2013,419,64,Major Market,South,13,1,Leaves,Herbal Tea,Lemon,$42,114,Texas,60,50,90,36,Decaf
561,2,10/1/2013,871,56,Major Market,East,10,1,Leaves,Tea,Darjeeling,$52,100,Florida,60,50,100,21,Regular
510,33,10/1/2013,650,110,Major Market,West,23,1,Leaves,Tea,Green Tea,$83,194,California,60,50,80,54,Regular
563,-14,10/1/2013,430,43,Small Market,Central,0,1,Beans,Espresso,Decaf Espresso,$46,46,Iowa,60,60,60,12,Decaf
203,-19,10/1/2013,375,64,Small Market,East,15,1,Beans,Espresso,Decaf Espresso,$31,118,Connecticut,60,50,90,43,Decaf
405,-29,10/1/2013,859,39,Small Market,South,7,1,Beans,Coffee,Decaf Irish Cream,$31,70,Oklahoma,60,60,90,18,Decaf
775,-40,10/1/2013,1000,37,Small Market,West,9,1,Beans,Coffee,Decaf Irish Cream,$10,72,Nevada,60,50,90,30,Decaf
435,-5,10/1/2013,881,59,Small Market,West,11,1,Beans,Espresso,Decaf Espresso,$55,106,Utah,60,60,80,22,Decaf
603,-11,10/1/2013,310,71,Small Market,East,15,1,Beans,Coffee,Amaretto,$49,128,New Hampshire,60,60,90,38,Regular
603,-14,10/1/2013,447,69,Small Market,East,14,1,Beans,Coffee,Colombian,$36,121,New Hampshire,60,50,90,45,Regular
603,-40,10/1/2013,320,64,Small Market,East,41,1,Beans,Espresso,Caffe Mocha,-$10,116,New Hampshire,60,30,90,71,Regular
504,-9,10/1/2013,-762,84,Small Market,South,54,1,Beans,Espresso,Caffe Latte,$1,153,Louisiana,60,10,90,83,Regular
702,-33,10/1/2013,240,43,Small Market,West,12,1,Beans,Coffee,Colombian,-$3,82,Nevada,60,30,100,45,Regular
971,-22,10/1/2013,404,66,Small Market,West,20,1,Beans,Espresso,Caffe Latte,$18,128,Oregon,60,40,100,54,Regular
573,-39,10/1/2013,320,64,Small Market,Central,41,1,Leaves,Herbal Tea,Chamomile,-$9,116,Missouri,60,30,80,70,Decaf
262,7,10/1/2013,851,70,Small Market,Central,13,1,Leaves,Herbal Tea,Lemon,$67,126,Wisconsin,60,60,90,25,Decaf
801,-11,10/1/2013,310,71,Small Market,West,15,1,Leaves,Herbal Tea,Chamomile,$49,128,Utah,60,60,90,38,Decaf
509,10,10/1/2013,829,71,Small Market,West,13,1,Leaves,Herbal Tea,Lemon,$70,127,Washington,60,60,90,24,Decaf
475,3,10/1/2013,881,59,Small Market,East,11,1,Leaves,Tea,Darjeeling,$53,106,Connecticut,60,50,100,23,Regular
503,45,10/1/2013,788,123,Small Market,West,27,1,Leaves,Tea,Earl Grey,$95,218,Oregon,60,50,90,59,Regular
541,63,10/1/2013,656,127,Small Market,West,28,1,Leaves,Tea,Green Tea,$113,232,Oregon,60,50,100,51,Regular
936,-1,11/1/2013,536,52,Major Market,South,13,1,Beans,Coffee,Decaf Irish Cream,$39,98,Texas,60,40,100,26,Decaf
254,31,11/1/2013,589,73,Major Market,South,14,1,Beans,Espresso,Decaf Espresso,$71,131,Texas,60,40,90,25,Decaf
719,0,11/1/2013,536,52,Major Market,Central,13,1,Beans,Coffee,Colombian,$40,98,Colorado,60,40,90,25,Regular
339,-12,11/1/2013,554,68,Major Market,East,47,1,Beans,Espresso,Caffe Mocha,-$12,128,Massachusetts,60,0,110,76,Regular
561,35,11/1/2013,1063,89,Major Market,East,23,1,Leaves,Herbal Tea,Mint,$65,175,Florida,60,30,110,45,Decaf
806,16,11/1/2013,424,68,Major Market,South,14,1,Leaves,Herbal Tea,Lemon,$46,121,Texas,60,30,100,37,Decaf
719,2,11/1/2013,410,69,Major Market,Central,20,1,Leaves,Tea,Darjeeling,$22,132,Colorado,60,20,100,54,Regular
708,31,11/1/2013,589,73,Major Market,Central,14,1,Leaves,Tea,Darjeeling,$71,131,Illinois,60,40,100,25,Regular
719,13,11/1/2013,1042,68,Major Market,Central,17,1,Leaves,Tea,Earl Grey,$43,133,Colorado,60,30,100,39,Regular
351,6,11/1/2013,862,52,Major Market,East,10,1,Leaves,Tea,Darjeeling,$46,94,Massachusetts,60,40,90,21,Regular
636,-10,11/1/2013,836,48,Small Market,Central,9,1,Beans,Espresso,Decaf Espresso,$40,86,Missouri,60,50,100,21,Decaf
504,-8,11/1/2013,856,47,Small Market,South,8,1,Beans,Coffee,Decaf Irish Cream,$42,83,Louisiana,60,50,90,19,Decaf
580,5,11/1/2013,862,52,Small Market,South,10,1,Beans,Coffee,Decaf Irish Cream,$45,94,Oklahoma,60,40,100,22,Decaf
337,20,11/1/2013,454,71,Small Market,South,15,1,Beans,Espresso,Decaf Espresso,$50,128,Louisiana,60,30,90,37,Decaf
262,1,11/1/2013,391,67,Small Market,Central,20,1,Beans,Coffee,Amaretto,$21,129,Wisconsin,60,20,110,53,Regular
603,5,11/1/2013,316,67,Small Market,East,14,1,Beans,Coffee,Amaretto,$45,120,New Hampshire,60,40,100,37,Regular
603,0,11/1/2013,452,66,Small Market,East,14,1,Beans,Coffee,Colombian,$30,116,New Hampshire,60,30,90,46,Regular
603,-22,11/1/2013,325,62,Small Market,East,40,1,Beans,Espresso,Caffe Mocha,-$12,113,New Hampshire,60,10,100,70,Regular
318,43,11/1/2013,321,88,Small Market,South,16,1,Beans,Espresso,Caffe Mocha,$73,150,Louisiana,60,30,100,39,Regular
206,-1,11/1/2013,391,67,Small Market,West,20,1,Beans,Espresso,Caffe Mocha,$19,129,Washington,60,20,110,54,Regular
580,-1,11/1/2013,391,67,Small Market,South,20,1,Leaves,Herbal Tea,Chamomile,$19,129,Oklahoma,60,20,110,54,Decaf
435,15,11/1/2013,316,67,Small Market,West,14,1,Leaves,Herbal Tea,Chamomile,$45,120,Utah,60,30,100,37,Decaf
435,0,11/1/2013,452,66,Small Market,West,14,1,Leaves,Herbal Tea,Lemon,$30,116,Utah,60,30,100,46,Decaf
253,25,11/1/2013,834,68,Small Market,West,13,1,Leaves,Herbal Tea,Lemon,$65,123,Washington,60,40,100,24,Decaf
203,9,11/1/2013,809,54,Small Market,East,10,1,Leaves,Tea,Green Tea,$49,96,Connecticut,60,40,90,21,Regular
509,1,11/1/2013,613,86,Small Market,West,55,1,Leaves,Tea,Green Tea,$1,157,Washington,60,0,100,85,Regular
956,5,12/1/2013,531,56,Major Market,South,14,1,Beans,Coffee,Decaf Irish Cream,$45,106,Texas,60,40,110,26,Decaf
430,37,12/1/2013,601,79,Major Market,South,15,1,Beans,Espresso,Decaf Espresso,$77,142,Texas,60,40,100,27,Decaf
719,-9,12/1/2013,521,65,Major Market,Central,42,1,Leaves,Herbal Tea,Lemon,-$9,119,Colorado,60,0,100,71,Decaf
970,13,12/1/2013,424,73,Major Market,Central,17,1,Leaves,Herbal Tea,Mint,$43,135,Colorado,60,30,110,44,Decaf
305,14,12/1/2013,403,80,Major Market,East,24,1,Leaves,Herbal Tea,Lemon,$34,155,Florida,60,20,100,57,Decaf
407,44,12/1/2013,1079,96,Major Market,East,24,1,Leaves,Herbal Tea,Mint,$74,188,Florida,60,30,120,46,Decaf
325,12,12/1/2013,424,73,Major Market,South,17,1,Leaves,Herbal Tea,Chamomile,$42,135,Texas,60,30,110,45,Decaf
430,6,12/1/2013,435,60,Major Market,South,13,1,Leaves,Herbal Tea,Lemon,$36,108,Texas,60,30,90,36,Decaf
408,29,12/1/2013,601,79,Major Market,West,15,1,Leaves,Tea,Earl Grey,$79,142,California,60,50,90,26,Regular
816,-10,12/1/2013,844,46,Small Market,Central,8,1,Beans,Espresso,Decaf Espresso,$40,82,Missouri,60,50,90,19,Decaf
337,-4,12/1/2013,863,51,Small Market,South,9,1,Beans,Coffee,Decaf Irish Cream,$46,91,Louisiana,60,50,100,20,Decaf
918,-8,12/1/2013,870,49,Small Market,South,9,1,Beans,Coffee,Decaf Irish Cream,$42,87,Oklahoma,60,50,90,21,Decaf
603,12,12/1/2013,462,74,Small Market,East,15,1,Beans,Coffee,Colombian,$42,130,New Hampshire,60,30,100,46,Regular
225,-4,12/1/2013,-1053,76,Small Market,South,49,1,Beans,Espresso,Caffe Latte,-$4,140,Louisiana,60,0,100,79,Regular
505,-17,12/1/2013,335,69,Small Market,South,44,1,Beans,Espresso,Caffe Mocha,-$7,126,New Mexico,60,10,90,74,Regular
702,-19,12/1/2013,250,49,Small Market,West,14,1,Beans,Coffee,Colombian,$1,94,Nevada,60,20,100,48,Regular
314,-7,12/1/2013,335,69,Small Market,Central,44,1,Leaves,Herbal Tea,Chamomile,-$7,126,Missouri,60,0,100,74,Decaf
920,15,12/1/2013,320,66,Small Market,Central,12,1,Leaves,Herbal Tea,Chamomile,$45,114,Wisconsin,60,30,90,36,Decaf
417,4,12/1/2013,1898,68,Small Market,Central,28,1,Leaves,Herbal Tea,Lemon,$24,171,Missouri,60,20,140,52,Decaf
860,20,12/1/2013,619,85,Small Market,East,25,1,Leaves,Herbal Tea,Lemon,$40,163,Connecticut,60,20,110,58,Decaf
203,13,12/1/2013,1075,76,Small Market,East,19,1,Leaves,Herbal Tea,Mint,$53,148,Connecticut,60,40,100,40,Decaf
435,5,12/1/2013,1898,68,Small Market,West,28,1,Leaves,Herbal Tea,Mint,$25,171,Utah,60,20,140,51,Decaf
262,-4,12/1/2013,627,76,Small Market,Central,49,1,Leaves,Tea,Earl Grey,-$4,140,Wisconsin,60,0,100,79,Regular
719,-23,10/1/2012,541,51,Major Market,Central,12,1,Beans,Coffee,Colombian,$27,90,Colorado,50,50,80,24,Regular
305,8,10/1/2012,1055,94,Major Market,East,24,1,Leaves,Herbal Tea,Mint,$48,174,Florida,50,40,90,46,Decaf
303,-17,10/1/2012,404,66,Major Market,Central,20,1,Leaves,Tea,Darjeeling,$13,120,Colorado,50,30,80,53,Regular
303,-13,10/1/2012,1037,64,Major Market,Central,16,1,Leaves,Tea,Earl Grey,$27,118,Colorado,50,40,80,37,Regular
508,-30,10/1/2012,859,39,Major Market,East,7,1,Leaves,Tea,Darjeeling,$20,66,Massachusetts,50,50,70,19,Regular
209,29,10/1/2012,580,111,Major Market,West,21,1,Leaves,Tea,Earl Grey,$79,187,California,50,50,80,32,Regular
715,-40,10/1/2012,573,29,Small Market,Central,7,1,Beans,Espresso,Decaf Espresso,$10,51,Wisconsin,50,50,70,19,Decaf
319,-32,10/1/2012,800,35,Small Market,Central,6,1,Beans,Espresso,Caffe Mocha,$18,58,Iowa,50,50,70,17,Regular
959,4,10/1/2012,593,98,Small Market,East,30,1,Leaves,Herbal Tea,Lemon,$34,177,Connecticut,50,30,90,64,Decaf
860,-15,10/1/2012,1053,77,Small Market,East,20,1,Leaves,Herbal Tea,Mint,$35,142,Connecticut,50,50,80,42,Decaf
262,-10,10/1/2012,449,67,Small Market,Central,14,1,Leaves,Tea,Darjeeling,$30,113,Wisconsin,50,40,70,37,Regular
715,0,10/1/2012,606,84,Small Market,Central,54,1,Leaves,Tea,Earl Grey,$0,144,Wisconsin,50,0,90,84,Regular
206,17,10/1/2012,329,99,Small Market,West,18,1,Leaves,Tea,Darjeeling,$57,159,Washington,50,40,70,42,Regular
773,-3,11/1/2012,536,52,Major Market,Central,13,1,Leaves,Herbal Tea,Lemon,$27,92,Illinois,50,30,80,25,Decaf
614,-10,11/1/2012,862,52,Major Market,Central,10,1,Leaves,Herbal Tea,Lemon,$30,88,Ohio,50,40,80,22,Decaf
617,-5,11/1/2012,410,69,Major Market,East,20,1,Leaves,Herbal Tea,Lemon,$15,124,Massachusetts,50,20,90,54,Decaf
707,-3,11/1/2012,536,52,Major Market,West,13,1,Leaves,Herbal Tea,Mint,$27,92,California,50,30,80,25,Decaf
352,-17,11/1/2012,875,42,Major Market,East,7,1,Leaves,Tea,Darjeeling,$23,70,Florida,50,40,70,19,Regular
561,-12,11/1/2012,856,47,Major Market,East,8,1,Leaves,Tea,Green Tea,$28,78,Florida,50,40,80,19,Regular
351,-11,11/1/2012,482,48,Major Market,East,8,1,Leaves,Tea,Green Tea,$29,80,Massachusetts,50,40,80,19,Regular
650,7,11/1/2012,589,73,Major Market,West,14,1,Leaves,Tea,Earl Grey,$47,123,California,50,40,80,26,Regular
712,-9,11/1/2012,387,43,Small Market,Central,0,1,Beans,Espresso,Decaf Espresso,$31,43,Iowa,50,40,50,12,Decaf
505,-18,11/1/2012,1804,40,Small Market,South,25,1,Beans,Coffee,Decaf Irish Cream,-$8,122,New Mexico,50,10,140,48,Decaf
515,-24,11/1/2012,802,34,Small Market,Central,6,1,Beans,Espresso,Caffe Mocha,$16,56,Iowa,50,40,70,18,Regular
505,-7,11/1/2012,325,62,Small Market,South,40,1,Beans,Espresso,Caffe Mocha,-$7,106,New Mexico,50,0,80,69,Regular
775,-14,11/1/2012,243,41,Small Market,West,12,1,Beans,Coffee,Colombian,-$4,74,Nevada,50,10,80,45,Regular
573,-8,11/1/2012,325,62,Small Market,Central,40,1,Leaves,Herbal Tea,Chamomile,-$8,106,Missouri,50,0,90,70,Decaf
262,-13,11/1/2012,856,47,Small Market,Central,8,1,Leaves,Herbal Tea,Lemon,$27,78,Wisconsin,50,40,70,20,Decaf
475,8,11/1/2012,1060,81,Small Market,East,21,1,Leaves,Herbal Tea,Mint,$38,150,Connecticut,50,30,100,43,Decaf
262,13,11/1/2012,454,71,Small Market,Central,15,1,Leaves,Tea,Darjeeling,$33,120,Wisconsin,50,20,90,38,Regular
206,4,11/1/2012,454,71,Small Market,West,15,1,Leaves,Tea,Earl Grey,$34,120,Washington,50,30,80,37,Regular
970,-1,12/1/2012,531,56,Major Market,Central,14,1,Beans,Coffee,Colombian,$29,99,Colorado,50,30,90,27,Regular
614,4,12/1/2012,435,60,Major Market,Central,13,1,Beans,Coffee,Colombian,$24,101,Ohio,50,20,90,36,Regular
339,-10,12/1/2012,571,52,Major Market,East,42,1,Beans,Espresso,Caffe Mocha,-$20,99,Massachusetts,50,-10,90,72,Regular
773,-1,12/1/2012,531,56,Major Market,Central,14,1,Leaves,Herbal Tea,Lemon,$29,99,Illinois,50,30,90,27,Decaf
805,-1,12/1/2012,531,56,Major Market,West,14,1,Leaves,Herbal Tea,Mint,$29,99,California,50,30,90,27,Decaf
303,-4,12/1/2012,422,57,Major Market,Central,17,1,Leaves,Tea,Darjeeling,$6,103,Colorado,50,10,80,51,Regular
303,6,12/1/2012,1054,63,Major Market,Central,16,1,Leaves,Tea,Earl Grey,$26,116,Colorado,50,20,90,37,Regular
617,-11,12/1/2012,870,49,Major Market,East,9,1,Leaves,Tea,Darjeeling,$29,82,Massachusetts,50,40,80,20,Regular
863,-10,12/1/2012,863,51,Major Market,East,9,1,Leaves,Tea,Green Tea,$30,85,Florida,50,40,80,21,Regular
641,-8,12/1/2012,344,43,Small Market,Central,0,1,Beans,Espresso,Decaf Espresso,$32,43,Iowa,50,40,50,11,Decaf
225,7,12/1/2012,466,63,Small Market,South,13,1,Beans,Espresso,Decaf Espresso,$27,106,Louisiana,50,20,80,36,Decaf
702,-22,12/1/2012,1009,38,Small Market,West,9,1,Beans,Coffee,Decaf Irish Cream,$8,69,Nevada,50,30,80,30,Decaf
515,-23,12/1/2012,807,35,Small Market,Central,6,1,Beans,Espresso,Caffe Mocha,$17,58,Iowa,50,40,70,18,Regular
985,11,12/1/2012,320,66,Small Market,South,12,1,Beans,Espresso,Caffe Mocha,$31,107,Louisiana,50,20,80,35,Regular
971,-4,12/1/2012,422,57,Small Market,West,17,1,Beans,Espresso,Caffe Latte,$6,103,Oregon,50,10,90,51,Regular
262,8,12/1/2012,466,63,Small Market,Central,13,1,Leaves,Tea,Darjeeling,$28,106,Wisconsin,50,20,80,35,Regular
959,-12,12/1/2012,818,49,Small Market,East,9,1,Leaves,Tea,Green Tea,$28,82,Connecticut,50,40,80,21,Regular
435,-4,12/1/2012,335,69,Small Market,West,44,1,Leaves,Tea,Darjeeling,-$4,118,Utah,50,0,80,73,Regular
360,7,12/1/2012,627,76,Small Market,West,49,1,Leaves,Tea,Green Tea,-$3,131,Washington,50,-10,90,79,Regular
303,-10,10/1/2013,541,51,Major Market,Central,12,1,Beans,Coffee,Colombian,$40,96,Colorado,50,50,80,24,Regular
904,31,10/1/2013,1055,94,Major Market,East,24,1,Leaves,Herbal Tea,Mint,$71,185,Florida,50,40,90,46,Decaf
720,-11,10/1/2013,404,66,Major Market,Central,20,1,Leaves,Tea,Darjeeling,$19,128,Colorado,50,30,80,53,Regular
970,0,10/1/2013,1037,64,Major Market,Central,16,1,Leaves,Tea,Earl Grey,$40,126,Colorado,50,40,80,37,Regular
978,-20,10/1/2013,859,39,Major Market,East,7,1,Leaves,Tea,Darjeeling,$30,70,Massachusetts,50,50,70,19,Regular
626,67,10/1/2013,580,111,Major Market,West,21,1,Leaves,Tea,Earl Grey,$117,199,California,50,50,80,32,Regular
262,-35,10/1/2013,573,29,Small Market,Central,7,1,Beans,Espresso,Decaf Espresso,$15,54,Wisconsin,50,50,70,19,Decaf
641,-23,10/1/2013,800,35,Small Market,Central,6,1,Beans,Espresso,Caffe Mocha,$27,62,Iowa,50,50,70,17,Regular
203,20,10/1/2013,593,98,Small Market,East,30,1,Leaves,Herbal Tea,Lemon,$50,189,Connecticut,50,30,90,64,Decaf
203,2,10/1/2013,1053,77,Small Market,East,20,1,Leaves,Herbal Tea,Mint,$52,151,Connecticut,50,50,80,42,Decaf
262,5,10/1/2013,449,67,Small Market,Central,14,1,Leaves,Tea,Darjeeling,$45,120,Wisconsin,50,40,70,37,Regular
